timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
338968241,25.320257,25.315386,15.824501,15.472229,0.0,589.1807,0.9579968,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
339460303,25.320257,25.31704,14.987255,15.1540985,0.0,591.2114,0.9578517,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
339965184,25.320257,25.316977,17.708303,16.008041,0.0,593.5374,0.95768553,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
340470673,25.320257,25.317352,13.138336,14.821183,0.0,595.52576,0.9575433,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
340976380,25.320257,25.318008,11.324304,13.002396,0.0,597.18243,0.9574249,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
341469064,25.320257,25.31803,14.638403,13.59695,0.0,599.05084,0.9572914,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
341973078,25.320257,25.31756,17.67342,15.456818,0.0,601.41583,0.95712245,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
342477905,25.320257,25.317886,17.533878,15.899518,0.0,603.67346,0.95696104,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
342981863,25.320257,25.317015,17.464108,16.750021,0.0,606.0886,0.95678866,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
343474647,25.320257,25.310892,21.475912,18.426006,0.0,608.76117,0.9565977,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
343980245,25.320257,25.312016,17.60365,18.130077,0.0,611.3602,0.9564121,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
344485943,25.320257,25.314203,2.5332196,12.810946,0.0,612.73956,0.9563135,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
344990195,25.320257,25.3163,11.428958,8.174338,0.0,613.2899,0.95627415,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
345483404,25.320257,25.316202,18.47578,12.346537,0.0,615.38855,0.95612425,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
345989126,25.320257,25.317604,3.579777,10.765271,0.0,616.8662,0.95601875,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
346494644,25.320257,25.318523,7.2078433,6.933501,0.0,617.36536,0.95598304,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
346988219,25.320257,25.319115,10.277745,7.7801805,0.0,618.50696,0.95590144,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
347493808,25.320257,25.319513,9.266073,8.870696,0.0,619.87823,0.95580333,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
347997855,25.320257,25.319778,9.3707285,8.817659,0.0,621.1276,0.9557141,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
348491480,25.320257,25.319944,11.742927,10.5168705,0.0,622.72253,0.9556,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
348996326,25.320257,25.32005,6.3705974,9.712326,0.0,624.0599,0.95550454,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
349501836,25.320257,25.32013,12.4057455,8.217104,0.0,624.9943,0.9554379,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
350005894,25.320257,25.320185,10.347516,9.45451,0.0,626.49445,0.9553309,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
350499473,25.320257,25.320185,12.580172,11.277129,0.0,628.22675,0.95520717,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
351005120,25.320257,25.320185,13.6965,10.921648,0.0,629.6986,0.95510197,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
351509900,25.320257,25.320007,9.998664,12.201227,0.0,631.63336,0.95496386,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
